pid,team,name,number,pos,b_t,wt,ht,born,debut,edu,nationality,original_name,draft
0000003144,富邦悍將,林益全,9,一壘手,右投左打,183,83,1985/11/11,2009/03/29,南英商工,中華民國,,興農牛2007年第一輪
0000000327,富邦悍將二軍,林晨樺,11,投手,右投右打,185,92,1988/12/16,2012/04/01,文化大學,中華民國,,興農牛2011年第一輪
0000006230,富邦悍將二軍,#林詠翔,40,投手,右投右打,176,72,2001/09/13,,高苑工商,中華民國,,富邦悍將2020年第五輪
0000001379,富邦悍將,林逸翔,16,投手,左投左打,184,80,1992/12/16,2018/06/21,康寧大學,中華民國,,Lamigo桃猿2017年第五輪
0000005562,富邦悍將二軍,#林聖榮,99,投手,右投右打,178,65,2001/06/04,,大理高中,中華民國,,富邦悍將2019年第三輪
0000005563,富邦悍將,姚冠瑋,10,捕手,右投右打,170,78,1996/01/11,2020/05/10,文化大學,中華民國,,富邦悍將2019年第四輪
0000003615,富邦悍將二軍,*胡金龍,15,左外野手,右投右打,180,86,1984/02/02,2013/03/24,國立體大,中華民國,,義大犀牛2012年第一輪
0000004643,富邦悍將二軍,胡冠俞,43,游擊手,右投右打,172,72,2000/05/18,2021/07/30,東大體中,中華民國,,富邦悍將2018年第四輪
0000000341,富邦悍將,范玉禹,47,投手,右投左打,193,90,1995/04/27,2015/04/05,嘉藥科大,中華民國,,義大犀牛2013年第一輪
0000006742,富邦悍將二軍,◎范姜永頡,016,捕手,右投右打,175,88,2002/11/23,,大溪高中,中華民國,,
0000002352,富邦悍將,范國宸,46,一壘手,右投右打,183,88,1994/11/25,2017/09/22,臺灣體大,中華民國,,富邦悍將2017年第五輪
0000006747,富邦悍將二軍,迪倫,58,投手,右投右打,185,79,1992/09/23,,,南非,Dylan Unsworth,
0000000343,富邦悍將,高孝儀,32,右外野手,右投右打,176,81,1990/05/29,2014/04/11,文化大學,中華民國,,義大犀牛2013年第九輪
0000003338,富邦悍將,高國輝,28,左外野手,右投右打,189,103,1985/09/26,2013/03/24,臺北體院,中華民國,羅 國 輝,義大犀牛2012年第二輪
0000001118,富邦悍將,高國麟,98,右外野手,右投右打,183,92,1993/01/02,2016/04/01,國立體大,中華民國,羅 國 麟,義大犀牛2015年第八輪
0000003395,富邦悍將二軍,張正偉,6,左外野手,左投左打,174,74,1986/08/05,2010/03/20,開南大學,中華民國,Malo ‧ Ipong,興農牛2008年第七輪
0000000361,富邦悍將二軍,張冠廷,33,左外野手,右投左打,178,70,1998/09/01,2017/04/07,美和高中,中華民國,,義大犀牛2016年第五輪
0000006741,富邦悍將二軍,*張宥鈞,41,右外野手,右投左打,175,73,2003/02/16,,平鎮高中,中華民國,,富邦悍將2021年第七輪
0000001285,富邦悍將二軍,*張耿豪,17,投手,右投右打,178,73,1991/04/11,2010/04/03,臺灣體大,中華民國,,興農牛2009年第一輪
0000000910,富邦悍將,張進德,69,捕手,右投左打,179,100,1993/05/17,2020/07/25,國立體大,中華民國,,富邦悍將2020年第一輪
0000000938,富邦悍將二軍,張瑞麟,72,投手,左投左打,181,80,1992/06/28,2018/05/26,國立體大,中華民國,,
0000006229,富邦悍將二軍,莊韋恩,49,游擊手,右投右打,170,57,1998/01/07,2021/04/10,國立體大,中華民國,,富邦悍將2020年第四輪
0000006232,富邦悍將二軍,#許宸銘,4,游擊手,右投左打,178,70,2002/07/18,,南英商工,中華民國,,富邦悍將2020年第八輪
0000001260,富邦悍將二軍,郭俊麟,18,投手,右投右打,175,76,1992/02/02,,臺灣體大,中華民國,,富邦悍將2020年第二輪
0000000363,富邦悍將二軍,陳仕朋,81,投手,左投左打,179,79,1997/09/20,2017/10/07,西苑高中,中華民國,,義大犀牛2016年第二輪
0000006745,富邦悍將二軍,陳冠勳,59,投手,左投左打,178,68,1998/12/23,,開南大學,中華民國,,
0000005307,富邦悍將二軍,陳韋霖,30,投手,左投右打,177,67,1995/06/30,2020/10/20,遠東科大,中華民國,,
